Id,Species
117,Iris-versicolor
96,Iris-versicolor
59,Iris-versicolor
36,Iris-setosa
92,Iris-versicolor
13,Iris-setosa
34,Iris-setosa
86,Iris-versicolor
10,Iris-setosa
100,Iris-versicolor
70,Iris-versicolor
94,Iris-versicolor
130,Iris-versicolor
72,Iris-versicolor
129,Iris-versicolor
116,Iris-versicolor
45,Iris-setosa
79,Iris-versicolor
50,Iris-setosa
131,Iris-versicolor
99,Iris-versicolor
23,Iris-setosa
137,Iris-versicolor
119,Iris-versicolor
98,Iris-versicolor
55,Iris-versicolor
1,Iris-setosa
112,Iris-versicolor
132,Iris-versicolor
143,Iris-versicolor
28,Iris-setosa
150,Iris-versicolor
76,Iris-versicolor
19,Iris-setosa
141,Iris-versicolor
123,Iris-versicolor
146,Iris-versicolor
74,Iris-versicolor
